shot,signal_ok,primary_p95,n_elms,n_elms_lower,n_elms_upper,both_live,coincidence_frac,elm_freq_hz,median_dt,mean_dt,cv_dt,min_dt,max_dt,weibull_k,t_first,t_last,window_s,t_lo,t_hi,dt_s
139892,True,2.298499953746795,11,11,0,False,,25.664956660426444,0.026500001549720764,0.027660000324249267,1.0198149345734022,0.0,0.09379997849464417,0.7854546777864291,0.27480000257492065,0.5514000058174133,0.4285999834537506,0.1324000060558319,0.5609999895095825,0.00020003318786621094
139893,True,3.4950000047683716,20,20,0,False,,30.3766714439857,0.01600000262260437,0.0289052615040227,0.9990993851791986,0.0,0.09140002727508545,0.9398256952184358,0.24740001559257507,0.7965999841690063,0.6583999842405319,0.14400000870227814,0.8023999929428101,0.00020003318786621094
139895,True,2.4084998846054066,21,21,0,False,,34.47143875141964,0.019899994134902954,0.02545999884605408,0.8529744710874383,0.0,0.0875999927520752,1.2263759275678168,0.24279999732971191,0.7519999742507935,0.6091999858617783,0.1526000052690506,0.7617999911308289,0.00020003318786621094
139896,True,2.7799999713897705,15,15,0,False,,29.092319020907027,0.025300011038780212,0.028399997523852756,0.755277325744554,0.0,0.06299999356269836,1.6411129674203502,0.2510000169277191,0.6485999822616577,0.5156000107526779,0.13680000603199005,0.652400016784668,0.00020003318786621094
139897,True,2.485999917984008,14,14,0,False,,25.21613784990956,0.03659999370574951,0.03049230804810157,0.6061485683102547,0.0,0.05760002136230469,1.804249294889857,0.2939999997615814,0.6904000043869019,0.5552000105381012,0.14140000939369202,0.6966000199317932,0.00020003318786621094
139901,True,2.842749977111815,20,20,0,False,,27.70850824771479,0.017199993133544922,0.02853684048903616,0.9505137597777465,-0.001999974250793457,0.07319998741149902,1.1890969510296872,0.3077999949455261,0.8499999642372131,0.7217999547719955,0.1372000128030777,0.8589999675750732,0.00020003318786621094
139903,True,1.804499948024749,14,14,0,False,,41.617124039458666,0.002400010824203491,0.010030769384824313,1.1536043337676516,-0.00020000338554382324,0.032399982213974,0.8433184425577225,0.26179999113082886,0.3921999931335449,0.33639998733997345,0.12120001018047333,0.4575999975204468,0.00020003318786621094
139906,True,3.418499839305877,5,5,0,False,,14.6799765623896,0.028300002217292786,0.05460000038146973,1.1732394352355606,-0.001399993896484375,0.1631999909877777,1.0307329877075628,0.24079999327659607,0.459199994802475,0.34059999883174896,0.133200004696846,0.47380000352859497,0.00020003318786621094
139907,True,2.2899999618530273,24,24,0,False,,68.45408008496638,0.002400010824203491,0.0072260868290196295,1.300299322452697,-0.0009999871253967285,0.029199987649917603,0.7872238767619014,0.21780000627040863,0.3840000033378601,0.3505999930202961,0.04200000688433647,0.39259999990463257,0.00020003318786621094
139908,True,2.102499938011165,10,10,0,False,,20.78138075676597,0.03139996528625488,0.040799998574786715,0.6965808911010514,0.0,0.08520001173019409,1.7395793570081852,0.24079999327659607,0.6079999804496765,0.4811999797821045,0.13260000944137573,0.6137999892234802,0.00020003318786621094
139913,True,1.8607500135898594,10,10,0,False,,23.180343813391033,0.026599973440170288,0.028022219737370808,0.8634292930866161,-0.0009999871253967285,0.08639997243881226,1.7706855821276037,0.3084000051021576,0.5605999827384949,0.43139998614788055,0.133200004696846,0.5645999908447266,0.00020003318786621094
